"id","finisheddate","party","elected","occupation","redevelop_con","republican","democrat","election_partisan","success","failure","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_575RnTxlHHHL13L","9/5/12 17:27",1,3,2,1,1,0,1,1,0,0,,
"R_9KpFxebT75R8R25","8/16/12 13:38",2,3,1,1,0,1,1,0,1,1,4,0
"R_b48wWJb3uw5CarP","8/6/12 12:25",1,-99,2,1,1,0,,1,0,0,4,0
"R_5o7kgytTj0EU8Vn","7/25/12 15:00",3,2,2,1,0,0,0,1,0,0,5,0
"R_6yw9ulWMMLiYvd3","8/16/12 15:19",1,2,2,1,1,0,0,0,1,0,5,0
"R_9nsIR2cXQVZFnIp","8/6/12 13:01",1,2,2,1,1,0,0,1,0,1,4,0
"R_6FG4NaTNGaunVhr","8/9/12 17:41",2,2,2,0,0,1,0,1,0,1,,
"R_0cSBewLqv2ChGkJ","8/15/12 11:16",1,2,1,1,1,0,0,0,1,1,4,0
"R_8qfDZOrIAeA3ZzL","8/7/12 9:58",,,,,,,,,,,5,0
"R_0jEh9RoqTla2rAN","8/6/12 12:15",3,2,1,,0,0,0,1,0,0,5,0
"R_dj4scRiFw46xYYR","8/6/12 8:47",2,2,2,0,0,1,0,1,0,1,5,0
"R_0rKhZwICLQbv6sJ","7/25/12 10:12",1,2,2,0,1,0,0,1,0,0,4,0
"R_8u0nGFfyvY8dSfP","8/7/12 20:39",2,2,2,1,0,1,0,0,1,0,4,0
"R_6n7LeocckY1Sxnf","7/26/12 0:55",1,2,2,0,1,0,0,1,0,0,,
"R_8Dox4hhQbtpcqX3","8/14/12 15:49",2,2,1,0,0,1,0,1,0,1,4,0
"R_eeN6IDqLQMYMhkF","8/7/12 14:03",3,2,2,0,0,0,0,1,0,0,,
"R_e2kmfBiJuxxqDKB","7/25/12 11:35",1,3,2,1,1,0,1,1,0,1,4,0
"R_d12C5dj1ANjHd6B","8/6/12 9:08",3,2,2,0,0,0,0,1,0,0,5,0
"R_0emqrJwwWb4cTBP","8/7/12 2:53",2,2,2,1,0,1,0,0,1,1,5,0
"R_erIpmio56mzRpIN","8/10/12 15:50",1,2,2,1,1,0,0,0,1,0,4,0
"R_b7qeZE5bPyrxTuZ","7/25/12 9:45",2,2,2,1,0,1,0,,,,4,
"R_3JcOL67GNTfbymN","7/25/12 17:36",5,2,2,1,0,0,0,1,0,1,5,0
"R_dp9Wj6ko0OXdxit","7/25/12 9:33",2,2,2,1,0,1,0,0,1,1,5,0
"R_e2KPMZFXt4xw6Ud","7/26/12 14:49",1,2,2,1,1,0,0,1,0,0,4,0
"R_enAkx0uYRJ8xIGh","7/25/12 15:15",3,2,2,1,0,0,0,0,1,1,5,0
"R_eJz31yRIziIf68R","7/25/12 11:16",1,2,2,1,1,0,0,0,1,1,4,0
"R_9AWx2U3PUgueibz","8/6/12 17:24",3,2,2,1,0,0,0,1,0,0,7,1
