"id","finisheddate","party","elected","occupation","foreclosure_problem","republican","democrat","election_partisan","treatment_republican","treatment_democrat","matched_party","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_dhiQnUxl8L7C18N","8/25/12 20:59",1,3,2,1,1,0,1,0,1,0,0,4,
"R_d3Uy6fkSXKbYznn","8/14/12 10:38",1,2,2,0,1,0,0,1,0,1,1,4,0
"R_egtRof2iprVpOLP","8/6/12 22:23",3,2,2,0,0,0,0,1,0,,0,4,0
"R_2iqT2DUTZvbEgTz","8/24/12 14:14",1,3,2,1,1,0,1,1,0,1,0,4,0
"R_87VwZlwcmCg1N2d","8/6/12 9:49",1,2,2,0,1,0,0,0,1,0,1,5,1
"R_bkGqCtvKxK1dIWx","8/14/12 10:43",2,3,1,1,0,1,1,1,0,0,1,4,0
"R_3F1VNJYOd0ehOHX","8/24/12 14:27",,-99,-99,,,,,,,,,7,1
"R_72hW3cGiOSWpqND","8/6/12 8:45",,,,,,,,,,,,4,0
"R_8iaR3THTEGEmbw9","8/24/12 16:34",2,2,1,1,0,1,0,1,0,0,1,4,0
"R_55vlkEZAEFK4Ifj","8/6/12 9:55",,,,,,,,,,,,4,0
"R_b9rLsxTqq1QJSkt","8/6/12 8:43",,,,,,,,,,,,4,0
"R_9S6cIvSh9llk50x","8/20/12 23:01",1,2,2,0,1,0,0,1,0,1,0,4,0
"R_eXmTqRw6SNZ54Rn","8/8/12 18:04",2,2,1,0,0,1,0,1,0,0,0,7,2
"R_9MFqXuX3ZN4FpJz","8/26/12 20:49",2,2,2,1,0,1,0,0,1,1,0,5,0
"R_eEhhVLq0zmUq1SZ","8/24/12 18:51",1,2,2,0,1,0,0,0,1,0,1,5,0
"R_3ERli9VzsbleenX","8/6/12 13:16",,-99,-99,,,,,1,0,,,,
"R_8rjuHz2h0P69DBX","8/14/12 10:29",3,2,2,1,0,0,0,,,,,4,0
"R_8wxY1DFS4PuqLn7","8/6/12 9:11",5,2,2,0,0,0,0,0,1,,0,,
"R_4SbG2Kkp9cNK4W9","8/6/12 12:28",2,2,2,1,0,1,0,0,1,1,1,,
"R_eyuzOzyrh5JmtSZ","8/16/12 13:01",1,2,2,0,1,0,0,1,0,1,1,,
"R_51jl2e1IPJxB045","8/14/12 11:04",2,,,,0,1,,,,,,4,0
"R_0v1YsvQYIsWd3OB","8/14/12 11:31",1,2,2,1,1,0,0,,,,,,
"R_3dXSnfQ2GpVwR9j","8/25/12 13:02",1,2,2,1,1,0,0,,,,,5,0
"R_2giWimtfHUMy7Mp","8/6/12 17:15",2,2,2,1,0,1,0,1,0,0,0,5,0
"R_0SrWDXRWlVW2dlb","8/9/12 20:12",3,2,2,1,0,0,0,0,1,,0,,
"R_bNI64Ey6iG1zajb","8/6/12 9:44",2,3,2,1,0,1,1,0,1,1,1,4,0
"R_6lBqtb6njyEq8G9","8/24/12 14:40",2,3,2,0,0,1,1,0,1,1,0,4,0
"R_6GAGDkgTDLdfnJb","8/7/12 13:52",2,3,2,0,0,1,1,0,1,1,0,4,0
"R_ac4FZQvj4vkKERv","8/14/12 18:10",3,2,2,1,0,0,0,0,1,,1,7,1
"R_e3xHrdVmVcM4w3H","8/17/12 10:19",1,2,2,1,1,0,0,0,1,0,0,5,0
"R_agiTHiW0yGYJQnb","8/6/12 9:32",2,2,2,0,0,1,0,1,0,0,1,4,0
"R_abX7XM6mQioFBD7","8/6/12 21:59",2,2,2,0,0,1,0,0,1,1,0,,
"R_cSXJZRqzVXT71id","8/6/12 12:49",1,2,2,0,1,0,0,1,0,1,0,5,0
"R_aaUH5amdQIBCseh","8/6/12 8:45",1,2,2,1,1,0,0,0,1,0,0,,
"R_d6lSqAj3pATZCf3","8/14/12 10:01",,-99,-99,,,,,1,0,,,5,0
"R_e9Da4Q1GAK4Tmol","8/25/12 11:12",3,2,2,1,0,0,0,1,0,,0,4,0
"R_cSh3GKjFJBRnDQp","8/14/12 12:12",3,2,2,0,0,0,0,0,1,,0,4,0
"R_b91OyxtLxsUYPXf","8/15/12 19:07",1,3,2,1,1,0,1,1,0,1,0,7,0
"R_0wDE1Xxpq9aUwYZ","8/14/12 18:58",1,3,2,0,1,0,1,1,0,1,0,4,0
"R_cvTMfQC3Pxq0obX","8/6/12 20:18",2,2,2,0,0,1,0,0,1,1,0,4,0
"R_d6cz1iypl78YmxL","8/24/12 10:51",2,2,2,0,0,1,0,1,0,0,1,4,0
"R_0rKyJFX8mkvJAEZ","8/6/12 8:48",1,3,2,0,1,0,1,,,,,4,0
"R_egI6GsmNCdYzrzn","8/29/12 13:11",2,3,2,0,0,1,1,0,1,1,1,7,1
"R_831a7OiCAZcaU5v","8/24/12 12:30",1,2,1,1,1,0,0,,,,,5,0
"R_bPm4qeJKAQk9x8p","8/6/12 18:10",1,2,2,1,1,0,0,0,1,0,1,5,0
"R_9Tv7s1zimFZRd1b","8/6/12 9:26",1,3,2,0,1,0,1,0,1,0,1,5,0
"R_ac4jTfBhBlkWetT","9/7/12 0:34",1,2,2,0,1,0,0,0,1,0,1,4,0
"R_e8OKVUNhR2uytlH","8/6/12 9:11",1,3,1,0,1,0,1,1,0,1,0,4,0
"R_3gGA7LvyqjhZG4t","8/6/12 20:09",1,3,2,1,1,0,1,1,0,1,1,7,1
"R_878W24JlEyc0h37","8/6/12 11:39",5,2,2,0,0,0,0,1,0,,0,5,0
"R_02OjgcpKV3ers2N","8/6/12 10:49",5,2,2,1,0,0,0,1,0,,0,5,0
"R_eWj0UbTuqQ420EB","8/14/12 12:10",1,2,2,1,1,0,0,0,1,0,1,5,0
"R_9NSEE3OKUBK5wPj","8/6/12 12:24",3,2,2,0,0,0,0,1,0,,0,5,0
"R_7NAkjBzvbdoa4Wp","8/30/12 21:37",3,2,2,1,0,0,0,0,1,,1,4,0
"R_esxAZ9Ym8aP7gBn","8/24/12 12:03",3,1,-99,0,0,0,,0,1,,0,4,
"R_d58NEULla3cnbWB","8/24/12 11:42",3,2,2,0,0,0,0,1,0,,0,4,0
