"name","removed","time","time_edit","time_removed","time_alive","round","state","class","party","lengthofincumbency","leadership","committeechair","pagechar","population","region","locked","block","treatment_pre_order","influence","republican","term","living","treat_final","treatment_post_order"
"Mike Crapo","NO","17:37, 7 November 2014",11/7/2014 17:37:37,,,5,"Idaho",3,"Republican",1999,,"Ranking - Banking, Housing, & Urban Affairs",166313,1567582,"W",0,20,13,1,1,,,1,95
"Mike Enzi","NO","16:52, 7 November 2014",11/7/2014 16:51:44,,,5,"Wyoming",2,"Republican",1997,,,160159,563626,"W",0,22,7,0,1,,,1,79
"Mike Johanns","NO","17:23, 7 November 2014",11/7/2014 17:22:19,,,5,"Nebraska",2,"Republican",2009,,,231398,1826341,"MW",0,5,98,0,1,,,1,90
"Mike Lee","13:17, 7 November 2014","16:21, 6 November 2014",11/6/2014 16:21:33,11/7/2014 13:17:39,75366400,5,"Utah",3,"Republican",2011,,,31298,2763885,"W",0,19,81,0,1,,,3,7
"Mitch McConnell","NO","09:09, 6 November 2014",11/6/2014 09:09:01,,,5,"Kentucky",2,"Republican",1985,"Minority Leader",,282892,4339367,"S",0,14,61,1,1,,,1,2
"Orrin Hatch","NO","16:18, 7 November 2014",11/7/2014 16:18:58,,,5,"Utah",1,"Republican",1977,,"Ranking - Finance",279203,2763885,"W",0,14,2,1,1,,,3,77
"Pat Roberts","20:26, 10 November 2014","05:13, 7 November 2014",11/7/2014 05:12:41,11/10/2014 20:26:50,314048512,5,"Kansas",2,"Republican",1997,,,154240,2853118,"MW",0,5,3,0,1,,,3,56
"Pat Toomey","17:01, 6 November 2014","16:39, 6 November 2014",11/6/2014 16:39:01,11/6/2014 17:00:52,1310720,5,"Pennsylvania",3,"Republican",2011,,,224815,12702379,"NE",0,13,87,0,1,,,3,14
"Patrick Leahy","14:16, 12 November 2014","06:02, 7 November 2014",11/7/2014 06:02:56,11/12/2014 14:16:51,461635584,5,"Vermont",3,"Democratic",1975,"President Pro Tempore","Chair - Judiciary",218555,625741,"NE",0,20,89,1,0,,,3,72
"Patty Murray","20:31, 6 November 2014","18:13, 6 November 2014",11/6/2014 18:12:57,11/6/2014 20:30:35,8257536,5,"Washington",3,"Democratic",1993,"Democratic Conference Secretary","Chair - Budget",199702,6724540,"W",0,16,49,1,0,,,2,30
"Rand Paul","18:39, 6 November 2014","10:32, 6 November 2014",11/6/2014 10:32:01,11/6/2014 18:39:10,29229056,5,"Kentucky",3,"Republican",2011,,,385218,4339367,"S",1,25,23,0,1,,,3,41
"Richard Blumenthal","20:33, 10 November 2014","17:46, 7 November 2014",11/7/2014 17:46:21,11/10/2014 20:33:23,269221888,5,"Connecticut",3,"Democratic",2011,,,302412,3574097,"NE",0,10,51,0,0,,,1,100
"Richard Burr","20:35, 6 November 2014","16:19, 6 November 2014",11/6/2014 16:19:22,11/6/2014 20:34:57,15335424,5,"North Carolina",3,"Republican",2005,,"Ranking - Veterans' Affairs",213365,9535483,"S",0,9,70,1,1,,,2,6
"Richard Shelby","NO","17:02, 6 November 2014",11/6/2014 17:03:03,,,5,"Alabama",3,"Republican",1987,,"Ranking - Appropriations",209610,4779736,"S",0,23,99,1,1,,,3,25
"Rob Portman","20:44, 6 November 2014","18:18, 6 November 2014",11/6/2014 18:17:20,11/6/2014 20:43:41,8781824,5,"Ohio",3,"Republican",2011,,,396029,11536504,"MW",0,8,5,0,1,,,2,34
"Roger Wicker","17:51, 10 November 2014","17:21, 7 November 2014",11/7/2014 17:20:08,11/10/2014 17:51:44,261095424,5,"Mississippi",1,"Republican",2007,,,138774,2967297,"S",0,13,54,0,1,,,1,89
"Ron Johnson","22:35, 6 November 2014","18:35, 6 November 2014",11/6/2014 18:34:48,11/6/2014 22:35:06,14417920,5,"Wisconsin",3,"Republican",2011,,,30687,5686986,"MW",0,23,18,0,1,,,4,43
"Ron Wyden","19:07, 6 November 2014","16:53, 6 November 2014",11/6/2014 16:52:08,11/6/2014 19:07:34,8126464,5,"Oregon",3,"Democratic",1996,,"Chair - Finance",252810,3831074,"W",0,15,8,1,0,,,4,20
"Roy Blunt","20:31, 6 November 2014","17:00, 6 November 2014",11/6/2014 17:00:52,11/6/2014 20:30:35,12582912,5,"Missouri",3,"Republican",2011,"Republican Conference Vice Chair",,191135,5988927,"MW",0,12,32,1,1,,,2,24
"Saxby Chambliss","13:18, 7 November 2014","16:17, 6 November 2014",11/6/2014 16:17:11,11/7/2014 13:17:39,75628544,5,"Georgia",2,"Republican",2003,,"Ranking - Intelligence",193829,9687653,"S",0,6,44,1,1,,,1,5
"Sheldon Whitehouse","20:51, 6 November 2014","18:29, 6 November 2014",11/6/2014 18:28:15,11/6/2014 20:50:15,8519680,5,"Rhode Island",1,"Democratic",2007,,,163700,1052567,"NE",0,2,39,0,0,,,3,40
