"month2","date2","year2","month1","date1","year1","group","famdiff","nycdirec","priority","votch1","othvotch1","votchst1","prompt","watchdpr","watchjlpr","party","partyoth","mob","yob","grade","race","raceoth","bestdate","besttime","gender","watchdps1","watchjlps","balance","watchdps2","watchdchk","informative","effective","won1","won2","ferrop","bloomop","knowledge","bloomsc","ferrsc","terror","housing","group2","vote","votch2","othvotch2","dosi","dofi","watch","age","coll","white","black","female","watchdps","modrace","modgen","modracgen","won","boroname","notperf","votem2005","votem2001","votem1997"
11,2,2005,10,28,2005,4,3,1,4,,,,,,1,1,,2,1948,3,6,"mixed",1104,1900,2,,1,2,2,,,,,1,3,3,1,48,48,3,1,1,1,3,,11/2/2005,10/28/2005,0,57.7780838012695,0,0,0,1,0,,,,1,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,3,2,3,1,2,,3,,,1,9,,9,,3,2,,1102,2000,2,,2,,2,,,,1,,2,1,1,,,3,1,1,1,2,,11/2/2005,10/28/2005,0,,0,0,1,1,0,,,,1,"QUEENS",1,1,1,1
11,3,2005,10,29,2005,2,3,3,7,,,,1,2,,1,,10,1925,4,1,,1103,1300,1,1,,,,13,3,1,1,,3,1,1,65,30,3,1,2,,,,11/3/2005,10/29/2005,1,80.1315078735352,1,1,0,0,1,0,0,0,1,"QUEENS",0,0,1,1
11,3,2005,10,29,2005,3,1,1,1,2,,1,,,2,1,,12,1971,3,2,,1104,2030,2,,2,,2,,,,1,,2,1,1,1,2,1,1,1,1,2,,11/3/2005,10/29/2005,0,33.9342460632324,0,0,1,1,0,,,,1,"QUEENS",0,1,1,0
11,2,2005,10,29,2005,1,3,2,1,1,,1,5,1,,1,,4,1948,2,1,,1101,2000,2,1,,,,13,3,2,1,,3,3,2,0,100,2,2,1,1,1,,11/2/2005,10/29/2005,1,57.6164398193359,0,1,0,1,1,0,0,0,1,"QUEENS",0,0,1,0
11,2,2005,10,29,2005,4,2,1,4,,,,,,2,1,,1,,2,1,,1101,2030,2,,2,,2,,,,3,,4,4,3,90,90,3,3,1,1,6,,11/2/2005,10/29/2005,0,,0,1,0,1,0,,,,3,"QUEENS",1,1,1,1
11,1,2005,10,28,2005,1,1,2,10,1,,1,5,1,,1,,7,1935,2,1,,1101,2000,2,1,,,,1,3,2,2,,1,2,2,0,100,3,2,1,1,1,,11/1/2005,10/28/2005,1,70.3753433227539,0,1,0,1,1,1,1,1,2,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,3,1,1,3,2,,2,,,3,2,,2,1969,2,1,,1101,2000,2,,2,,2,,,,3,,3,3,1,68,50,1,1,1,1,2,,11/2/2005,10/28/2005,0,36.7616424560547,0,1,0,1,0,,,,3,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,2,2,3,2,,,,5,2,,1,,1,,4,2,,1104,1930,2,2,,,,,,,3,,3,3,1,90,10,3,1,1,1,2,,11/2/2005,10/28/2005,1,,1,0,1,1,0,,,,3,"QUEENS",1,1,1,0
11,1,2005,10,29,2005,2,2,2,5,,,,2,1,,1,,1,1966,5,1,,1101,2030,1,1,,,,1,1,2,2,,1,3,1,88,92,1,2,2,,,,11/1/2005,10/29/2005,1,39.8520545959473,1,1,0,0,1,1,1,1,2,"QUEENS",0,1,1,1
11,3,2005,10,28,2005,2,1,1,2,,,,6,2,,6,,2,1959,4,9,,1101,2030,1,1,,,,13,2,1,3,,3,3,1,75,50,1,1,2,,,,11/3/2005,10/28/2005,1,46.7698631286621,1,,,0,1,0,0,0,3,"QUEENS",0,1,1,0
11,3,2005,10,29,2005,1,3,1,4,2,,1,3,2,,4,,5,1947,3,1,,1104,2100,2,2,,,,,,,3,,3,3,1,100,0,1,3,1,1,2,,11/3/2005,10/29/2005,1,58.5369873046875,0,1,0,1,0,,,,3,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,2,2,1,7,,,,6,1,,1,,11,1927,4,1,,1101,2030,1,1,,,,1,3,1,1,,2,1,1,84,16,1,2,1,2,2,,11/2/2005,10/28/2005,1,78.0438385009766,1,1,0,0,1,1,1,1,1,"QUEENS",0,0,1,1
11,1,2005,10,29,2005,4,1,1,1,,,,,,2,1,,10,1968,4,1,,1101,2030,2,,2,,1,1,4,1,3,,3,3,1,60,40,1,2,2,,,,11/1/2005,10/29/2005,0,37.1013717651367,1,1,0,1,1,1,1,1,3,"QUEENS",0,1,1,0
11,1,2005,10,29,2005,4,1,1,4,,,,,,1,2,,6,1964,5,1,,1101,2000,1,,2,,2,,,,1,,2,3,1,95,60,1,1,1,2,2,,11/1/2005,10/29/2005,0,41.4383544921875,1,1,0,0,0,,,,1,"QUEENS",0,1,1,0
11,2,2005,10,29,2005,3,2,3,3,1,,2,,,1,1,,7,1946,5,1,,1102,1800,2,,1,1,2,,,,,1,2,1,1,85,70,1,1,2,,,,11/2/2005,10/29/2005,0,59.3698616027832,1,1,0,1,0,,,,1,"QUEENS",0,1,1,0
11,2,2005,10,30,2005,4,1,1,2,,,,,,2,2,,6,1941,5,1,,1101,2000,2,,2,,2,,,,1,,3,3,1,90,50,1,1,2,,,,11/2/2005,10/30/2005,0,64.4575347900391,1,1,0,1,0,,,,1,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,4,3,1,3,,,,,,1,1,,5,1955,3,3,,1102,1900,2,,2,,1,13,1,2,1,,3,3,1,100,100,1,2,2,,,,11/2/2005,10/28/2005,0,50.5287666320801,0,0,0,1,1,0,0,0,1,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,2,3,2,7,,,,4,1,,2,,2,1954,4,1,,1102,2000,2,2,,,,,,,1,,1,3,1,0,60,1,1,1,1,1,,11/2/2005,10/28/2005,1,51.7726020812988,1,1,0,1,0,,,,1,"QUEENS",0,1,1,1
11,2,2005,10,29,2005,1,1,1,10,2,,1,3,2,,1,,9,1958,3,2,,1104,2000,2,2,,,,,,,3,,1,3,1,95,75,1,1,1,1,2,,11/2/2005,10/29/2005,1,47.191780090332,0,0,1,1,0,,,,3,"QUEENS",0,1,1,1
11,2,2005,10,29,2005,3,1,1,8,2,,1,,,2,1,,5,1948,4,1,,1101,2130,1,,2,,1,13,1,1,1,,3,3,1,100,30,1,1,2,,,,11/2/2005,10/29/2005,0,57.5342483520508,1,1,0,0,1,0,0,0,1,"QUEENS",0,1,1,0
11,2,2005,10,28,2005,1,2,1,1,2,,1,3,2,,6,,6,1953,4,1,,1103,2000,2,2,,,,,,,1,,3,3,1,85,55,1,1,2,,,,11/2/2005,10/28/2005,1,52.4438362121582,1,1,0,1,0,,,,1,"QUEENS",0,1,1,1
11,1,2005,10,28,2005,1,3,1,1,6,,,2,1,,1,,10,1943,3,1,,1101,2000,1,2,,,,,,,3,,1,2,1,50,60,2,2,1,1,1,,11/1/2005,10/28/2005,1,62.1178092956543,0,1,0,0,0,,,,3,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,2,1,1,4,,,,4,1,,5,"indepent paryt . .",1,,9,9,,1101,2000,2,1,,,,13,2,1,3,,2,1,1,70,60,1,2,1,1,2,,11/2/2005,10/28/2005,1,,,,,1,1,0,0,0,3,"QUEENS",1,1,1,1
11,3,2005,10,29,2005,2,3,1,4,,,,6,2,,6,,12,1919,4,4,,1104,1600,2,2,,,,,,,1,,2,1,1,90,70,1,1,1,1,2,,11/3/2005,10/29/2005,1,85.9698638916016,1,0,0,1,0,,,,1,"QUEENS",0,1,1,0
11,3,2005,10,30,2005,2,1,3,1,,,,6,1,,1,,9,1954,3,1,,1102,2000,2,2,,,,,,,1,,3,3,1,60,35,1,2,1,1,2,,11/3/2005,10/30/2005,1,51.1972618103027,0,1,0,1,0,,,,1,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,2,2,1,4,,,,4,1,,1,,7,1936,5,4,,1101,2100,1,1,,,,1,2,1,1,,3,3,1,90,60,1,1,2,,,,11/2/2005,10/28/2005,1,69.3726043701172,1,0,0,0,1,1,1,1,1,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,1,3,1,5,1,,2,4,2,,1,,5,1964,5,1,,1102,1600,2,2,,,,,,,2,,1,3,1,85,85,1,2,1,1,2,,11/2/2005,10/28/2005,1,41.5205497741699,1,1,0,1,0,,,,2,"QUEENS",0,1,0,1
11,2,2005,10,29,2005,1,2,1,1,2,,1,2,3,,1,,3,1951,4,1,,1102,2000,1,2,,,,,,,1,,3,3,1,75,50,1,1,2,,,,11/2/2005,10/29/2005,1,54.7013702392578,1,1,0,0,0,,,,1,"QUEENS",0,1,1,1
11,1,2005,10,30,2005,2,2,2,5,,,,4,1,,1,,6,1968,3,1,,1101,2100,2,1,,,,1,2,2,3,,1,3,1,55,65,2,2,2,,,,11/1/2005,10/30/2005,1,37.4383544921875,0,1,0,1,1,1,1,1,3,"QUEENS",0,1,1,1
11,3,2005,10,29,2005,2,3,1,1,,,,4,2,,1,,4,1963,4,1,,1102,1000,2,2,,,,,,,1,,3,3,1,60,40,1,1,1,1,2,,11/3/2005,10/29/2005,1,42.6082191467285,1,1,0,1,0,,,,1,"QUEENS",0,1,1,1
11,3,2005,10,28,2005,1,2,1,6,6,,,2,2,,1,,8,1965,5,1,,1104,1930,2,2,,,,,,,3,,3,3,1,75,65,1,2,1,1,6,,11/3/2005,10/28/2005,1,40.2684936523438,1,1,0,1,0,,,,3,"QUEENS",0,1,1,1
11,1,2005,10,28,2005,4,2,2,3,,,,,,3,6,,5,1961,5,1,,1101,2130,2,,2,,2,,,,3,,3,3,1,70,70,1,2,2,,,,11/1/2005,10/28/2005,0,44.5232887268066,1,1,0,1,0,,,,3,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,4,1,1,2,,,,,,1,2,,5,1949,2,4,,1104,1900,2,,2,,2,,,,1,,2,1,1,90,75,3,2,2,,,,11/2/2005,10/28/2005,0,56.5315055847168,0,0,0,1,0,,,,1,"QUEENS",0,1,1,0
11,1,2005,10,28,2005,3,3,1,4,2,,2,,,2,1,,2,1954,5,1,,1101,2000,1,,2,,2,,,,1,,3,3,1,70,30,1,1,1,1,2,,11/1/2005,10/28/2005,0,51.7726020812988,1,1,0,0,0,,,,1,"QUEENS",0,1,1,1
11,2,2005,10,29,2005,4,2,2,1,,,,,,2,1,,9,1954,2,2,,1102,2100,2,,2,,2,,,,3,,1,2,1,0,70,3,3,1,1,1,,11/2/2005,10/29/2005,0,51.1945190429688,0,0,1,1,0,,,,3,"QUEENS",0,1,1,0
11,2,2005,10,31,2005,1,3,2,1,1,,2,3,1,,1,,6,1971,5,1,,1102,1930,2,1,,,,1,2,2,3,,1,2,2,50,75,3,2,1,1,1,,11/2/2005,10/31/2005,1,34.4410972595215,1,1,0,1,1,1,1,1,3,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,1,4,1,2,2,,2,2,1,,2,,5,1961,2,1,,1104,1900,1,1,,,,1,2,1,1,,2,1,3,75,,3,1,2,,,,11/2/2005,10/28/2005,1,44.5232887268066,0,1,0,0,1,1,1,1,1,"QUEENS",0,1,1,1
11,1,2005,10,29,2005,2,3,3,5,,,,5,1,,1,,9,1946,5,2,,1101,2100,1,1,,,,1,2,1,2,,1,3,1,50,60,3,2,2,,,,11/1/2005,10/29/2005,1,59.2000007629395,1,0,1,0,1,1,1,1,2,"QUEENS",1,1,1,1
